"title","rating","date","text","route","scope","class"
"Pelayanan citilink sangat buruk dan tidak layak","10","Juni 2022","Penerbangan kami harusnya pukul 10.25 pada 17 juni 2022. Namun, penerbangan kami didelay oleh citilink sehari sebelum keberangkatan pukul 7 malam. Yang harusnya berangkat jam 10.25 kami berangkat 3 jam kemudian. Setelah tiba di bandara, penerbangan kami kembali di delay 1 jam 30 menit, jadi kami berangkat pukul 14.30. Sebelumnya kami protes kepada pekerja, karena dengan demikian kami mngkin sangat kepepet untuk naik pesawat selanjutnya di jakarta tujuan jerman. Dan delay ini, hanya ada di penerbangan citilink. Sementara penerbangan lainnya tidak.  Untuk itu, sangat tidak direkomendasikan penerbangan tidak dengan citilink.","Denpasar - Jakarta","Southeast Asia","Economy"
"CITILINK MENGECEWAKAN!CUSTOMER SERVICE BURUK!!!!!","10","Oktober 2021","Saya udah boarding 5.30, Dan 15 menit sebelum take off udah ga boleh masuk dengan alasan yang ga jelas, Dan customer servicenya juga ga ngasih penjelasan, sangat MENGECEWAKAN !!!","Jakarta - Denpasar","Asia","Economy"
"Rute cancel, refund gak bisa","10","September 2021","Psw sy di cancel oleh Citilink, coba hub customer service gak ada yg angkat, chat gak bisa, email gak di balas, lalu uang refund gak di anggap.. Payah Citilink.. hrsnya lebih tanggung jawab... :((:(((","Surabaya - Denpasar","Asia","Economy"
"Delay tp tulisnya sesuai jadwal","10","Agustus 2021","jelas2 pesawat delay, tp tulisnya sesuai jadwal, udah sering terbang sama citilink hampir selalu delay atau terlambat. mengecewakan.","Jakarta - Denpasar","Asia","Economy"
"Penerbangan tidak sesuai jadwal","10","Desember 2020","Masih ada waktu sekitar 7 menit sebelum take off, tp sy tidak diperbolehkan masuk krn petugas citilink bilang sudah terlambat. Dan sy diminta utk membeli tiket penerbangan selanjutnya pukul 15.30. Sy beli tiketnya, tp sampe jam 15.27 belum boarding dan sy pun tanya ke petugas, dia bilang sebentar lagi dan boarding pun pukul 15.31, sedangkan di jadwal take off pukul 15.30. Sy sgt kecewa. Di jadwal pertama sy dibilang terlambat pdhl masih ada waktu 7 mnt, jadwal kedua malah boarding melewati jadwal take off seharusnya","Bengkulu - Jakarta","Domestic","Economy"
"Harga Bagus, Service Mantap","50","Oktober 2020","Sampai 4 Jam sebelum keberangkatan kalau reschedule cuma bayar 50ribu(biaya admin) + selisih harga Bandingkan dengan Tetangga Batik Indonesia yang katanya Full Service tapi reschedule nya dibatasin sampai 72j sebelum keberangkatan dan biaya administrasi dua kali lipat Overall Relaibillity nya jauh lebih bagus citilink","Tarutung - Jakarta","Domestic","Economy"
"Tetap low cost airlines terbaik","50"," ","Saya memikmati malam tahun baru yang benar-benar luar biasa di Medan. Terbang dari Bandara soekarno hatta dari awal mulai masuk ke pesawat, mulai terbang, hingga mendarat di kuala namu pelayanan crew citilink benar-benar ramah. Walaupun kala itu malam tahun baru tapi tetap penerbangannya sangat murah, lebih murah dari yang lainnya. Terima kasih","Jakarta - Medan","Domestic","Economy"
"Citilink Indonesia","50"," ","Dan untuk kembali ke Jakata dari Semarang, saya memilih kembali Maskapai dari Garuda Indonesia Grup, Citilink.  Di beberapa kali perjalanan saya baik wisata maupun kerjaan selalu memilih menggunakan maskapai tersebut.  Selalu berkesan terbang bersama citilink, dan landing pun tetap ga berasa.","Semarang - Jakarta","Domestic","Economy"
"Liburan","30","April 2019","Cukup sering Naik pesawat ini, cuma sering banget ac nya panas.. secara keseluruhan bagus,namun sekarang bagasi walau dlm negri hrs beli.","Jakarta - Medan","Domestic","Economy"
"BetterFly 👍","50"," ","Penerbangan nya bagus dari denpasar ke dili, pramugari dan pramugara juga ramah ramah, makanan enak. Harga last minutes booking juga terbaik, mudah2an promo shock sale nya di hadirkan kembali karena sangat bagus apabila pake website fan apps monile via citilink.","Denpasar - Dili","Southeast Asia","Economy"
"LCC dengan standar full service","40","Januari 2020","LCC dengan standar full service, penerbangan awal pagi yang cocok untuk pebisnis, on time, jika pilih seat free minum air mineral","Surabaya - Jakarta","Domestic","Economy"
"LCC rasa Garuda","50","Juni 2019","Dibelikan tiket Citilink, penerbangan Surabaya-Palembang langsung. Alhamdulillah bisa makan enak di sini, walaupun beli tetapi bisa beli online. Yang paling enak itu, ketika bisa menambah miles Garuda dan dapat bagasi gratis di sini. Maskapai LCC saingan Citilink sudah menarik uang untuk bagasi, Citilink masih memberikan gratis bagasi 20 kg, sangat bermanfaat untuk saya yang bawaannya agak berat dan banyak. Toilet bersih, penerbangan nyaman, enak-enak saja walau kursi memang agak sempit, maklum maskapai biaya rendah. Tetapi pelayanan masih oke, khususnya di bandara saat check-in dan di pesawat saat terbang, dan ada tambahan pantun jenaka saat mendarat. Uniknya pendaratan Citilink Airbus A320 sangat mulus, saking mulusnya saya sampai ngantuk pun nggak terasa sudah landing alias mendarat. Hanya saja buku bacaan di kursi saya sudah robek-robek, semoga diganti dengan majalah yang baru yang lebih baik. Serta doa dalam perjalanan khusus umat Islam, memakai doa naik kapal laut, tetapi tidak ada doa khusus safar, berbeda dengan Garuda dan bahkan maskapai saingannya.  Namun, dari semuanya, secara keseluruhan maskapai ini masih oke, lah. Sesuai dengan harga dan pelayanannya. Semoga ke depannya, Citilink lebih baik lagi. Aamiin","Surabaya - Palembang","Domestic","Economy"
"Menyesal mempermasalahkan sebotol aqua","30","Februari 2020","Saya merasa kecewa mengapa harus bertemu dengan senior flight attendent yang kurang skill komunikasinya. Seperti kami memesan/membeli seat secara online. Pada penerbangan QG 492 surabaya-banjarmasin 21-02-2020 kami mendapatkan seat nomer 7A, 7B, 7C, 7D dan 7E sesuai dengan info saat membeli seat. Ternyata kami tidak terdaftar sebagai pembeli seat. Kami menanyakan dan dijawab dengan tidak serius dan menyepelehkan kalau tidak ada bukti pembayaran. Tolong ditunjukan bukti pembayarannya dan kami akan memberikan aquanya (itu jawab Anngun Putri, senior flight attenden yang bertugas). Bagaimana kami membuktikan bukti pembayaran online saat penerbangan berlangsung/offline. Yang kami sesalkan : 1. kami tidak mendapatkan HAK kami sebagai pembeli seat. 2. kami merasa disepelehkan dan dipandang sebelah mata oleh senir flight attenden/Anggun Putri. ( Kami tidak meminta aqua seharga 10 ribu mbak, yang kami harapkan penjelasan yang sopan, logis, menghargai, dan penjelasan kenapa sampai kami tidak masuk dalam daftar walaupun sudah membayar) Saya mengharapkan: 1. manajemen citilink memberikan arahan, kalau perlu mendidik khusus cara berkomunikasi yang baik dan tidak meremehkan pelanggan pada sdri Anggun Putri. Memang pembelaan diri selalu ada karena sering orang tidak menyadari kesalahannya, selalu merasa benar. jujur saya lebih puas mendengarkan penjelasan dari yunior flight attenden, sopan, menghargai, tau kalau bukan sebotol aqua yang dipermasalahkan.  Salam","Surabaya - Banjarmasin","Domestic","Economy"
"Mencoba flight ke Perth dengan Citilink untuk pertama kali","30","Februari 2020","Pertamakali mencoba maskapai ini saat membuka rute baru ke Perth dari bandara baru di Yogyakarta yaitu YIA sehingga kami pun memesan rute YIA-DPS-PER tgl 10 Februari 2020 namun hari H-2 diganti menjadi JOG-CGK-DPS-PER sehingga untuk keluarga dengan membawa anak kecil tentu perjalanan ini sangat melelahkan. Ditambah lagi bagasi di bandara Denpasar Bali harus diambil di terminal domestik untuk kemudian check in kembali di terminal international walau pada saat check in di Yogyakarta, kami diberitahu bahwa tidak perlu ambil bagasi dan kami dapat boarding pass untuk semua rute. Pantun di atas flight Citilink menarik dan hot meal dan hot drink nya enak namun free hot meal untuk rute DPS-PER harus buru-buru disantap sebab akan landing. Free baggage untuk domestic flight 20 kg per orang dan untuk international flight 10 kg per orang. Free cabin luggage max 7 kg per orang. No entertainment during flights. Mohon ditingkatkan service Citilink. Makasih.","Yogyakarta Region - Perth","International","Economy"
"kenyamanan dalam penerbangan","50","Januari 2020","Selalu nyaman terbang dengan citilink, awak kabin rapi dan ramah. Salam perpisahan sangat unik, dengan pantun2 yang jenaka..  Maju terus citilink.. Bangga maskapai nasional menjadi idola di negri sendiri","Medan - Jakarta","Domestic","Economy"
"No Delay/On Time","50","Januari 2020","Ontime,check in mudah, dapat bagasi 10kg, dapet meals enak di pesawat, harga tiket sangat bersahabat","Surabaya - Kuala Lumpur","Southeast Asia","Economy"
"Selalu Nyaman dengan Citilink","50","Desember 2019","Naik Citilink itu selalu enak. Tepat waktu, take off dan landingnya sangat smooth, stewardessnya ramah-ramah dan tentunya pantun yang selalui ngengenin tiap terbang bersama Citilink.","Jakarta - Batam","Domestic","Economy"
"Murah dan nyaman","30","Desember 2019","Dapat iket murah pp ke kuala lumpur Enak nya dapat makan dan bagasi free 10 kg atau 15 kg Tepat waktu  Gak enak nya ada insiden ga dapat kursi karna rupa nya sebagian kursi double book jadi agak lama berdiri sampe yang punya kursi tuh ribut2 sekeluarga di kapal karena saya solo, saya di pelototin tuh sama yang punya kursi lha kursi saya aja udah didudukin sama 1 keluarga yang disuruh berdiri ga mau  akhirnya kursi saya sebaris dan kursi sebelah saya sebaris di gantikan ke depan di nomor 6 kebayang dong enaknya duduk di depan di kursi hijau, lebih lega lagi dari pada nomor 22 langsung saja saya ambil di jendela wah senang banget ga usah bayar lagi, trus setelah hampir tiba di berikan bonus potongan tiket citilink, makasih banget  Waktu pergi makan nya enak, nasi, ayam kari, telur, buah dan minum pas pulang tidak enak hanya nasi, tempe orek, kentang ampla dan telur, plus buah dan minum  Menurut saya layanan citilink oke banget, staf ramah2 semua.. pulang pergi ga ada masalah kok","Jakarta - Kuala Lumpur","Southeast Asia","Economy"
"Below Par Performance","20"," ","Pesawat: Airbus A320-200 PK-GQP.  Plus: 1. Tiket sedang murah. 2. AC bekerja dengan baik. 3. Tidak ada insiden berarti. 4. Pendaratan cukup baik.  Minus: 1. Naik pesawat dengan tangga biasa. 2. Terlambat boarding sekitar 45 menit. 3. Tidak ada hiburan di pesawat. 4. Terlambat tiba di tujuan sekitar 1 jam. 5. Turun pesawat dengan tangga biasa dan hanya disediakan 1 tangga.","Surabaya - Jakarta","Domestic","Economy"
"Better Fly Citilink? Maybe Yes, Maybe No","30"," ","Kali ini saya terbang dengan pesawat Airbus A 320-200 dengan inisial registrasi PK-GTH. Saya senang karena saat boarding disediakan fasilitas garbarata.  Sayangnya, saya ditempatkan di kursi dekat jendela darurat tanpa dikonfirmasi terlebih dahulu oleh Petugas Check In. Untungnya Penumpang di sebelah saya bersedia bertukar tempat.  Keberangkatan pesawat sedikit terlambat karena antrian untuk masuk ke landasan pacu. Selama penerbangan tidak ada insiden berarti, pendingin udara bekerja dengan baik, dan stiker iklan di kompartemen bagasi kabin yang biasanya membuat mata gatal ternyata diganti dengan gambar festival wisata budaya dari salah satu kota di ujung timur Provinsi Jawa Timur.  Jangan mengharapkan ada fasilitas hiburan di pesawat karena Citilink adalah low cost carrier (maskapai penerbangan berbiaya hemat - katanya). Selain itu, ada hal khas yang hampir selalu saya alami bila sedang terbang dengan maskapai LCC yaitu ""aroma mi instan"" yang disantap oleh penumpang. Benar-benar godaan yang menantang untuk ditahan.  Pendaratan berlangsung mulus. Salut dengan Pilot dan Co-Pilot yang bertugas. Selanjutnya, pada saat turun dari pesawat tidak disediakan fasilitas garbarata karena Bandara tujuan termasuk bandara kecil (walaupun dengan embel-embel ""International Airport"").  Kesimpulannya, apakah slogan ""Better Fly Citilink"" sudah sesuai dengan kenyataan? Tergantung penilaian masing-masing. Maybe Yes, Maybe No.","Surabaya - Jakarta","Domestic","Economy"
"penerbangan pertama","50","Januari 2019","pertama kali saya diajak jalan jalan kebali menggunakan pesawat ini sangat menyenangkan pelayanan sangat memuaskan pramugari dan pramugara sangat ramah dan kopilot selalu memberikan informasi padahal waktu itu cuaca sangat buruk sekali","Jakarta - Denpasar","Asia","Economy"
"Harga murah","50","Desember 2019","Saya membeli tiket Citilink saat promo dengan harga Rp. 300.000, secara teknis maskapai ini sangat nyaman, kita dapat inflight meal gratis dari maskapai, dan itu akan membuat anda ketagihan. good job!","Solo - Jakarta","Domestic","Economy"
"Decent Service","30"," ","Saya terbang dengan pesawat Airbus A320-200 dengan nomor registrasi PK-GTF dari sebuah bandara kecil dan tidak disediakan fasilitas garbarata.  Take-off sedikit terlambat karena antri di landasan pacu. Selama penerbangan tidak ada insiden berarti, tidak ada bau mi instan pesanan penumpang, tidak ada lagi stiker iklan salah satu Biro Perjalanan berwarna kuning biru di Kompartemen Bagasi Kabin namun sekarang berganti menjadi stiker iklan Biro Perjalanan lain yang berwarna putih dan oranye.  Pada saat landing, pesawat terasa seperti agak slip ke kiri dan ke kanan sebelum akhirnya berhenti dengan sempurna.  Secara keseluruhan, pengalaman terbang kali ini cukup baik walaupun tidak dapat dikatakan istimewa.","Jakarta - Surabaya","Domestic","Economy"
"affordable","50","Desember 2019","good service. semua crew ramah. pesawat bersih. take off dan landing cukup ok. tapi sayang saat itu take off telat beberapa menit. tidak seperti biasanya, citilink cukup jarang kalau delay","Surabaya - Denpasar","Asia","Economy"
"Smooth landing","50","Desember 2019","Saya dan rombongan berangkat Minggu malam tanggal 8 Desember 2019, cuaca pada saat itu hujan rintik2 namun penerbangan on time, kami terbang dan ketika kami sampai sungguh2 smooth tidak terasa kasar dan biasanya seperti mau direm susah ini sama sekali tidak. Sungguh menyenangkan terbang menggunakan Citilink. Keep up the good service Citilink","Pontianak - Jakarta","Domestic","Economy"
"Harga murah, pelayanan waah!","50"," ","Saya membeli tiket Citilink saat promo dengan harga Rp. 300.000, secara teknis maskapai ini sangat nyaman, kita dapat inflight meal gratis dari maskapai, dan itu akan membuat anda ketagihan. good job!","Surabaya - Kuala Lumpur","Southeast Asia","Economy"
"Layanan mantap","40","November 2019","Pelayanan ok, tepat waktu, meski kelas ekonomi tapi cukup memuaskan, bisa pulih menu makanan Dan minuman saat terbang","Solo - Jakarta","Domestic","Economy"
"Penerbangan Pagi dengan Pantun Ala Citilink","50"," ","Penerbangan pagi yang sesuai jadwal, pelayanan yang ramah, serta crew cabin yang sangat membatu, penerbangan sangat enjoy karana ada pemberitahuan kedatangan di sampaikan crew cabin sangan berbeda dan tidak monoton....karana segala pemberitahuan kedatangan menggunakan pantun yang cukup membuat saya terhibur.","Surabaya - Denpasar","Asia","Economy"
"Maskapai budget dengan pelayanan baik","40","Desember 2019","Meskipun beli tiket promo dari Surabaya-Penang dan di re route jadi Surabaya- transit Jakarta -Penang,tapi tetap menyenangkan.  Jakarta-Penang diberi makanan,yang tidak pernah diberikan oleh maskapai budget yang lain.Nasi ayam yang rasanya cukup enak menurut suami,karena aku gak doyan ayam ..  Awak kabin ramah dan membantu.Yang paling berkesan ada pantun ,kali ini pantun nya banyak sekali dan lucu lucu sehingga mendapatkan tepuk tangan /applaus yg meriah dari semua penumpang..  Kuda lumping makan beling..  Selalu kangen pergi naik Citilink","Jakarta - Penang","Southeast Asia","Economy"
"Penerbangannya Ontime, Nyaman dan nyaman","40","Juli 2019","Jadwal Penerbangannya Ontime, Penerbangannya Nyaman dan Aman serta sesuai jadwal, Bagasi free dan kabin bagus dam aman","Pekanbaru - Batam","Domestic","Economy"
"Ketapatan waktu yang diterus dijaga","40","September 2019","Pesawat yang bersih dan rapi, dan keberangkatan tepat waktu, pelayanan yang ramah, dan tiba di tujuan lebih awal dari jadwal yang ditentukan","Banjarmasin - Semarang","Domestic","Economy"
"Penerbangan yg cukup menyenangkan","40","Desember 2019","Bagi kami yg ingin berlibur secara berhemat, maka terbang dgn Citilink adalah salah satu alternatif. Semua okay kalau utk jarak pendek yg krg dari 3 jam terbang, krn jarak kursi yg ckp sempit. Masalahnya justru pada management service. Sulit utk bs menghubunginya lewat telp. Yg anehnya Citilink sudah go internasional,tp tempo hari saya coba beli & bayar dgn kartu kredit dari Australia justru katanya gak bisa. Aneh kan. Bagaimana orang asing mau/bisa beli ticketnya?","Jakarta - Penang","Southeast Asia","Economy"
"Fly with Citilink","50"," ","Perjalanan ke trip ke Bali dari Jakarta begitupun sebaliknya kali ini pilih coba dengan citilink. Wagelasehh Pelayanan ramah, gaada yg namanya delay2 😅 dan emang bener landing nya gaberasaa. Ketjeh badaii lahh ni maskapai. Kereenn","Jakarta - Denpasar","Asia","Economy"
"Lumayan tepat waktu","40","Desember 2019","Meski ekonomi tetap citilink tetap menjaga ketepatan waktu. Untuk kenyamanan cukup bersaing dengan maskapai lain.","Surabaya - Jakarta","Domestic","Economy"
"Good","40"," ","Walaupun anakannya garuda, tapi masih jauh sih untuk disamakan kayak garuda. Kursinya agak mepet2 ya jadi kaki kurang nyaman gitu. Untuk flight attendant semuanya ramah, baik. Lumayan lah untuk perjalanan 2jam'an gitu. Nice!","Denpasar - Jakarta","Southeast Asia","Economy"
"Ok!","30"," ","Proses cek in lancar, boarding on time dan lancar. Take off aman & nyaman. Diatas pesawat yg beli tiket lewat tiket.com dapat makan, yang lain bengong kecuali mau beli hehehehe. Landing mulus dan halus.","Jakarta - Medan","Domestic","Economy"
"Midclass","30"," ","LCC terbaik Indonesia.. Cek in di mesin tidak ada kertas jadi terpaksa di counter. Proses boarding lancaar dan ontime, take off lancar dan mulus. Sebelum Cgk agak goyang cuaca buruk. Landing mulus dan halus.","Surabaya - Jakarta","Domestic","Economy"
"My Hectic Morning with Citilink","30","Oktober 2019","Ambil penerbangan pertama Citilink, dan saya sudah check in online di hari sebelumnya. Saat hari keberangkatan kebetulan saya berangkat pagi ke Bandara dan sudah tiba 2 jam sebelum keberangkatan. Namun sayangnya saya harus cetak boarding pass sendiri, dan alatnya entah kenapa tidak bisa mencetak boarding pass saya.  dicoba sebanyak 3x sampai akhirnya tertulis status bahwa saya telah mencetak lebih dari limit. padahal saya belum terima cetakan boardingnya. saat saya tanyakan ke CS yang berjaga, katanya saya harus antri di counter reguler, yang saat ini udah antriiiiiiiiiiiiiii panjaaaaaaaaaaaaang buanget, full, penuh, rame gak tau lagi kenapa pagi itu bisa se-ramai itu.  Antriannya cukup panjang, dan lamaaaaaaa banget harus berdiri 1,5 jam, sampai sudah ada panggilan kalau pesawat harus boarding. Rasanya campur aduk, langsung maju kedepan dan harus menyalip antrian.  Check in di terminal 2 Gate E, sedangkan boarding di Gate D, alhasil harus lari-lari saya bawa koper cabin.  Biasanya citilink tidak sampai se-repot ini.  Karena belum sarapan, dipesawat saya memesan nasi goreng lengkap dengan telor. Rasanya cukup menenangkan hati dan fisik ini yang lelah mengantri dan berlarian. Tapi sayangnya menjelang mendarat, si pramugara lupa kasih kembalian untuk makan yang saya pesan. Jadi saya minta lagi untuk uang kembalian saya.  Alhamdulillaah perjalanan di udara berjalan mulus hingga mendarat, semoga Citilink dapat memberikan kenyamanan yang lebih untuk penumpangnya, terutama saat check-in di counter.","Jakarta - Banjarmasin","Domestic","Economy"
"VERY RECOMMENDED","50"," ","Saya dapat tiket promo pp 600rb dan dipesawat ternyata dapet hot meal service yang menurut saya cukup komplit apalagi di harga segitu. Ditambah lagi dapat bagasi membuat saya semakin yakin bila hendak ke luar negeri cukup dengan citilink saja kalau lagi promo!","Jakarta - Kuala Lumpur","Southeast Asia","Economy"
