"title","rating","date","text","route","scope","class"
"XT 7625 DPS-SUB 8 Juli 2018 :)","30","Juli 2018","Kali ini kami kembali mengulas pengalaman penerbangan kami bersama dengan Indonesia AirAsia XT 7625 DPS-SUB 8 Juli 2018 :) Cukup lama baru sempat kami ulas dikarenakan kesibukan :) Penerbangan dalam rangka sekembalinya dari liburan kami di Bali. Penerbangannya tepat waktu, pelayanan cukup baik. Tingkat kepuasan kami cukup :)","Denpasar - Surabaya","Southeast Asia","Economy"
"Orang Asia Kudu Nyoba Air Asia :))","50","Oktober 2018","Pernah naik maskapai penerbangan murah yang lain, tapi saya lebih suka naik Air Asia. Oktober Tahun lalu saya terbang 3 kali menggunakan Air Asia dari Jogja-Jakarta kemudian Jakarta-BAngkok PP. Nyaman, dan saya cukup puas. Akan lebih sering lagi terbang menggunakan Air Asia.. Next on July 2019 im going to Singapore and Malaysia. Yeahhhh!!!!","Yogyakarta Region - Jakarta","Domestic","Economy"
"XT 7624 SUB-DPS 4 Juli 2018 :)","30","Juli 2018","Kali ini kami kembali mengulas pengalaman penerbangan kami bersama dengan Indonesia AirAsia XT 7624 SUB-DPS 4 Juli 2018 :) Cukup lama baru sempat kami ulas dikarenakan kesibukan :)  Penerbangan dalam rangka liburan di Bali. Penerbangan tepat waktu, pelayanan baik. Tingkat kepuasan cukup :)","Surabaya - Denpasar","Asia","Economy"
"XT 8298 KUL-SUB 21 Juni 2018 :)","30","Juli 2018","XT 8298 KUL-SUB 21 Juni 2018 :) Kali ini ulasan untuk pengalaman penerbangan kami dengan AirAsia sekembalinya dari liburan di Bangkok, Thailand. Cukup lama baru sempat kami ulas, dikarenakan kesibukan kami. Penerbangan dari KLIA2 tepat waktu, tingkat kenyamanan cukup, pelayanan baik, tingkat kepuasan cukup :)","Kuala Lumpur - Surabaya","Southeast Asia","Economy"
"My first time","50","November 2018","ini pertama kalinya saya naik pesawat dan pertama kali naik air asia. kursi cukup nyaman dan makanan enak!! kita sempat mengalami kendala waktu 13 menit saat terbang. kita harus berbalik karena ada kerusakan. tapi yang penting selamat dan pergantian pesawat cukup cepat. untung tidak delay lama2 hehe","Denpasar - Singapore","Southeast Asia","Economy"
"terbang bersama air asia selalu luar biasa","50","Juni 2018","maskapai yang selalu bisa mengakomodasi mimpi mimpi kita mengunjungi beberapa destinasi .. saat ini mimpi kemanapun bisa menjadi nyata..semoga selalu ada promo promo luar biasa dari masakapai ini..","Surabaya - Seoul","North Asia","Economy"
"Ga pernah nyesel liburan dengan airasia.","50","Februari 2019","Airasia selalu memberikan pelayanan yang terbaik.dunia jadi berasa kecil deh.airasia numero uno❤️!!!","Medan - Penang","Southeast Asia","Economy"
"XT 322 SUB-KUL 12 Juni 2018 :)","30","Juni 2018","XT 322 SUB-KUL 12 Juni 2018 :) Kali ini ulasan untuk pengalaman penerbangan kami dengan AirAsia dalam rangka liburan ke Bangkok, Thailand. Cukup lama baru sempat kami ulas, dikarenakan kesibukan kami.  Penerbangan tepat waktu, tingkat kenyamanan cukup, pelayanan baik, tingkat kepuasan cukup :)","Surabaya - Kuala Lumpur","Southeast Asia","Economy"
"XT 7692 CGK-SUB 20 Mei 2018 :)","30","Juni 2018","XT 7692 CGK-SUB 20 Mei 2018 :)  Kali ini ulasan untuk pengalaman penerbangan dengan Indonesia Air Asia XT 7692 CGK-SUB 20 Mei 2018 saat kami pulang dari berakhir pekan di Jakarta :) Sama dengan kebanyakan ulasan kami untuk pengalaman penerbangan dengan Maskapai ini, cukup nyaman, pelayanan baik.","Jakarta - Surabaya","Domestic","Economy"
"XT 7681 SUB-CGK 19 Mei 2018 :)","30","Mei 2018","Ini ulasan untuk pengalaman penerbangan dengan Indonesia Air Asia XT 7681 SUB-CGK 19 Mei 2018 saat kami berakhir pekan di Jakarta :) Sama dengan kebanyakan ulasan kami untuk pengalaman penerbangan dengan Maskapai ini, cukup nyaman, pelayanan baik. Untuk menggambarkan pengalaman penerbangan pada saat itu, kami menyertakan beberapa foto :)","Surabaya - Jakarta","Domestic","Economy"
"Penumpang lain yg menjengkelkan","10","April 2019","Air asia adalah pesawat budget yg artinya berbiaya rendah dimana meal, seat Dan bagasi dibayar terpisah (diluar free kabin 7kg) dan bisa check in onlinen beberapa hari sebelum penerbangan lengkap dengan tambahannya.pesawatnya sendiri ada yg lega ada pula yg jarak kakinya sempit. Tergantung dari jenis pesawatnya. Tapi yg menyebalkan adalah prilaku penumpang lainnya yg minta tukar tempat duduk dengan ku sampai 2x dengan alasan duduknya terpisah dengan keluarganya.Padahal kursi yg aku duduk itu boleh pilih dan beli saat booking onlinen 3 hari sebelumnya dan bukan gratis.yg pertama aku kasih karna kasihan, tapi baru saja duduk tiba tiba ada yg minta tukeran lg dan benar benar menjengkelkan dan menganggu karna anaknya tidak bisa diam, dan ibunya bicara tidak enak karna aku menolak tukeran duduk dengan suaminya. Buat passenger lain : tolong kalau tidak inggin duduk terpisah dengan keluarganya apalagi yg membawa anak kecil, belilah dan pilih 1 set kursi sendiri supaya tidak menganggu penumpang lain.jangan pelit pelit keluar duit lebih kalau inggin service lebih Buat maskapainya tolong ditawarkan buat penumpang yg satu keluarga untuk membayar saat check in dicounter AA (mungkin karna tidak mengerti pilih kursi dan check in onlinen) bila mereka inggin duduk sederet dan tidak terpisah terutama yang membawa anak kecil.sehingga tidak merugikan dan menganggu penumpang lain yg sudah booking duluan.","Singapore - Jakarta","Southeast Asia","Economy"
"XT 7625 DPS-SUB 15 Apr 2018 :)","30","Mei 2018","Masih sama dengan belasan ulasan-ulasan kami sebelumnya, untuk kali ini pengalaman penerbangan kami dari DPS-SUB dengan XT 7625 pada15 April 2018. Penerbangan pulang dari liburan singkat kami di Kuta, Bali.  Penerbangannya lancar, nyaman, pelayanan juga cukup baik. Tingkat kepuasan kami untuk penerbangan XT 7625 kali ini cukup, sesuai dengan kelas Maskapai yang berbiaya rendah :) Kami kembali menyertakan beberapa foto untuk menggambarkan pengalaman terbang kami bersama AirAsia Indonesia :)","Denpasar - Surabaya","Southeast Asia","Economy"
"Siapa Saja bisa terbang","50","Maret 2019","Pesawat yang sangat nyaman dengan A320Neo nya, Awak Kabin dengan sigap melayanai seluruh kebutuhan penumpang dan yang paling penting, makanannya enaaak","Banda Aceh - Kuala Lumpur","Southeast Asia","Economy"
"Benar-benar tidak bisa request tempat duduk","30","Desember 2018","Benar-benar tidak bisa memilih tempat duduk. Saya bela-belain check in di counter awal dengan harapan bisa request tempat duduk di dekat jendela namun crew-nya tidak memberi. Saya sudah pernah mencoba hampir seluruh maskapai LCC namun sepertinya hanya air asia yang se-""pelit"" itu pada pax.","Yogyakarta Region - Jakarta","Domestic","Economy"
"Excellent service","40","April 2019","Proses check in cepat, petugas ramah. Jadwal keberangkatan on time, bahkan jadwal tiba sedikit lebih cepat. Pelayanan cabin crew baik. Pesawat bersih, ruang duduk tidak terlalu lapang namun masih bisa ditolerir untuk durasi perjalanan singkat Jakarta-Denpasar. Tidak ada fasilitas hiburan di pesawat.","Jakarta - Denpasar","Asia","Economy"
"Maskapai Murah","40","Mei 2018","Airasia merupakan maskapai low cost carrier yang cocok untuk terbang keluar negeri karena rute mereka yang banyak. Layanan service mereka bagus dan ontime service juga baik. Dan sekarang ada WIFI yang bisa untuk entertainment, menurut untuk Low Cost Carrier flight.","Palembang - Jakarta","Domestic","Economy"
