title,rating,date,text,route,scope,class
Penerbangan JT015 dan masalah keterlambatan tidak bertoleransi,10,Februari 2022,"Lion air kurang konsisten, ga wajar sampai 4 kali reschedule sudah keterlaluan, pas perginya dari jakarta - bali saya sudah check in dan tepat 10 menit sebelum take off namun sudah closed dan tidak ada toleransi malah nambah 85% dari biaya, sekarang tanggal 23 pesawat JT015 seenaknya reschedule sampai 4 kali, lion air so bad pokonya gapunya toleransi, seenaknya rechedule sampai 4 kali, saran saya yaa kalo telat sedikit beri toleransi untuk pindah ke jadwal pesawat berikutnya",Denpasar - Jakarta,Southeast Asia,Economy
Terbang menyenangkan dengan LION,40,Nov-21,"Kemarin saya naik Lion dari Bandar Lampung ke Jakarta. Jadwal terbang tepat waktu. Saya pesan tiket lewat agen penerbangan online. Hanya saja yg membuat kesal adalah, LION Air mengirim jadwal reschedule yang keliru. Saya telpon ke nomor LION Air, tidak pernah diangkat sama sekali., Percuma menelpon ke Lion Air, tidak diangkat2.. Tapi beberapa hari kemudian, jadwal saya yg sudah di reschedule kemudian di kembalikan lagi ke jadwal semula. Seringnya Reschedule ini membuat penumpang cemas tidak nyaman. Semoga ke depan Lion tidak sering melakukan reschedule.",Bandar Lampung - Jakarta,Domestic,Economy
Maskapai paling buruk gak akan berangkat kecuali gak ada pilihan lain,10,Oktober 2021,Menginfokan pindah jadwal penerbangan 15 jam sebelum keberangkatan. Dipikir gampang apa cari maskapai pengganti mepet mepet. Kalau memang gak niat buka jadwal dari awal gak usah aja buka jadwal penerbangan.,Surabaya - Central Kalimantan,Domestic,Economy
Maskapai Paling Buruk se Indonesia,10,Agustus 2021,"Lion Air dari berbagai macam maskapai yang saya coba adalah maskapai yang paling tidak reliable dengan pengalaman yang paling buruk. Bahkan naik angkot saja serasa lebih mending daripada Lion, Business operation yang digunakan hanya menggunakan mindset licik untuk memanfaatkan celah dan kelemahan pengguna  Dari awal harusnya sudah tau kalau jumlah penumpang tidak banyak ketika pandemi, tapi masih dengan sengaja membuka banyak opsi jadwal supaya calon penumpang terjaring, lalu dengan seenaknya meng-cancel dan menggeser jadwal supaya penerbangan mereka bisa penuh. Sistem tebar jala seperti ini yang membuat penerbangan Lion pasti delay dan reschedule, jangan pernah harap terbang sesuai tiket yang dibeli  Kalau tidak terpaksa dan ada opsi lain, saya sudah pakai maskapai lain walau lebih mahal. Kongkalingkong dengan stakeholder ini yang ngebikin rakyat Indonesia hanya punya opsi Lion untuk terbang, sampah sekali",Palangkaraya - Jakarta,Domestic,Economy
MENGECEWAKAN!,10,Juni 2021,"saya sudah biasa ya dengan jadwal lion yg sering delay, kalau bukan krn tdk ada penerbangan lain yg available, saya gak akan pakai maskapai ini. tapi ini sudah kelewatan! pertama, kami sampai ketinggalan pesawat krn antri superpanjang di loket checkin padahal sudah minta untuk diproses duluan krn pesawat akan segera takeoff! kami sudah antri 2 jam sebelum penerbangan. jadi tolong kalau tdk mampu menangani jumlah penumpang sekian banyak, jgn diambil semua. kedua, saya tau printer dg tinta tdk boleh masuk bagasi dan harus ke kabin, itu yg dikatakan petugas check in. pas mau naik pesawat, di bagian gate 2 Kupang petugasnya ngotot minta saya bawa printer saya lagi ke bagian check in utk minta dimasukkan ke bagasi. SAYA TURUN LAGI LALU DI PETUGAS CHECK IN SAYA DIMINTA UTK BAWA PRINTER SAYA LAGI KE GATE! KOORDINASI KACAU! PELANGGAN DIBIKIN NAIK TURUN DAN SAYA DIBENTAK2 KARENA SAYA TIDAK MAU MEMBAWA PRINTER SAYA UNTUK KETIGA KALI KE BAGIAN CHECK IN! MIKIR DONG! pas saya mau komplain, costumer servicenya SELALU MELAYANI TELPON LAIN! TOLONG YA INI DIPERBAIKI!",Kupang - Denpasar,Asia,Economy
Semuanya masih biasa biasa saja,40,Agustus 2020,"Masih standartlah, tidak mengecewakan, tapi tidak juga terlalu memuasakan, intinya yaa... masih standar, sesuai dengan harganya.",Jakarta - Medan,Domestic,Economy
Maskapai Sampah,10,Februari 2021,"Lengkap 3 kali dengan penerbangan ini dalam satu hari mengalami delay, sy harus smpai membeli tiket 3x hanya untuk menyesuaikan jadwal, hanya untuk mendapatkan yang sangat buruk. Lion air adalah maskapai dengan servis yang jauh dari kata profesional",Balikpapan - Jakarta,Domestic,Economy
Anothers Greats flight JT247,50, ,"Semakin menyenangkan terbang dgn Lion... Berangkat sesuai jadwal, in flight WIFI dan crew yg begitu ramah.. Hanya satu hal karena COVID kadang schedule nya sering berubah dan seperti nya adA pemangkasan jadwal. Semoga akan semakin baik kwalitas dan pelayanan nya",Batam - Palembang,Domestic,Economy
Lion nub,10,Nov-20,GK efektif karena Pesawat lion lemot tidak sesuai jadwal membuat kesel dan jadi tidak kepengin lagi naik,Surabaya - Jayapura,Domestic,Economy
On time Depart and Great Inflight Entertainment,50, ,Sebuah peningkatan yang luar biasa.. dengan ketepatan waktu take off. Dan peningkatan pelayanan dengan sebuah fasilitas Inflight Entertaiment.. luar biasa semoga tetap kerja keras untuk mempertahan kan Tapi krnapa on line check in nya tidak dapat di access.. #JT0247👍👍,Batam - Palembang,Domestic,Economy
Nimakti perjalanan mu dan jangan lupa berdoa,30,Februari 2020,Pelayanan ok Dengan harga ekonomi kelas ekonomi apa yang diharapkan. Tinggal duduk manis dan nikmati penerbangan mu. Tidak ada hiburan Hanya ada snak dan minuman seadanya. Overall oke lah,Jakarta - Denpasar,Asia,Economy
Landing yang kasar,30,Februari 2020,"Di dalam pikiran saya, pesawat ini sudah mendapatkan cap negatif dengan beberapa pengalaman buruk, seperti delay yang kebangeten. tetapi terpaksa dengan pesawat ini dan benar...saat landing tidak smooth",Pekanbaru - Yogyakarta Region,Domestic,Economy
PELAYANAN HANCUR,10,Februari 2020,"Saya tiba di bandara 30 menit sebelum keberangkatan saya sampai ke antri ditempat checkin tinggal 15 menit sebelum keberangkatan disitu petugas checkin bukannya langsung segera membuat tiket saya, malah sibuk menceramahi saya kenapa telat. Apa yg seharusnya bisa di kejar jadi ga bisa di kejar alhasil saya gagal terbang",Medan - Padang,Domestic,Economy
Penerbangan Yang Ekonomis,30,Januari 2020,"Penerbangan ekonomis dengan membawa perlengkapan yang juga harus disesuaikan dengan minimal kebutuhan, karena adanya biaya bagasi yang akan dikenakan jika kita melakukakannya melebihi standard, kalau Pria, biasakan pilih yang pintu darurat, selain memungkinkan kita untuk terbang dengan rileks karena tempat kaki yang lebih longgat, juga untuk lebih memahami aturan-aturan keselamatan penerbangan, karena kita akan dibimbing secara pribadi untuk persiapan-persiapan yang harus kita lakukan jika pesawat mengalami kondisi darurat",Solo - Jakarta,Domestic,Economy
Kembali membelah bumi Borneo,30,Januari 2020,"paling tepat kalau terbang dengan Lion Air itu ambil penerbangan yang paling pagi, karena pesawat menginap di airport, tidak ada delaynya",Balikpapan - Banjarmasin,Domestic,Economy
Late Is Our Name?,10,Februari 2020,"4 kali naik LION, tapi hanya 1 kali yang on schedule..sudah buru2 ke bandara agar tidak terlambat, malah pesawatnya yang delay. Kalau penumpang yang terlambat tidak ada alasan, tiket hangus, tapi kalau pesawat yang terlambat terbang, banyak alasan. Bikin kapok naik lagi, walau harga murah.",Surabaya - Denpasar,Asia,Economy
Penerbangan Tepat Waktu,40,Januari 2020,"Penerbangan pada malam hari tepat waktu. Dari take off, saat mengudara, dan landing, semua lancar dan mulus. Maskapai ini menawarkan wifi gratis supaya penumpang dapat menikmati hiburan sepanjang penerbangan selama 5 jam 15 menit ini.",Jakarta - Jayapura,Domestic,Economy
Lion Air Makin nyaman dengan fasilitas Baru air.fi nya,40,Februari 2020,"jujur ini pengalaman saya pertma kali mencoba lion air pasca terjadi kecelakaan duu. sejak kejadian tersebut saya belum pernah pakai lion lagi. selain karena dulu sering delay sampai ber jam-jam, juga beberapa kali mengalami landing yang kasar. cuman pengalaman yg saya rasakan kali ini berbeda. pesawat berangkat ontime, landing nyaman, dan sekarang sudah tersedia Flight entertainment, melalui air.fi nya, jadi merasa tidak bosan dengan perjalanan panjang selama 2,5 jam PKU-SUB. saya rasa apabila lion terus memperbaiki pelayanannya, akan bisa mengambil hati pelanggannya lagi. oh ya satu lagi, sebenarnya muatan bagasi saya lebih dari 7 kg, sekitar 8 kg lah ya tp mbak nya berbaik hati untuk tidak perlu menambah bagasi lagi. :D",Pekanbaru - Surabaya,Domestic,Economy
Kecewea,10,Februari 2020,"Luar biasa lion nair. Harga boleh murah, 1,1jt, tapi kena bagasi 6kg hampir separo harga tiket ,hanya berat 6kg. Itupun koper kosong 75% karena kata petugas harus d bagasikan, padahal berat cabin bisa 7kg. Hanya karena koper agak gede katanya.benar2 smart. Hanya satu kata ""kapok""",Yogyakarta Region - Jakarta,Domestic,Economy
Landing Tak Terasa,50,Februari 2020,"Boarding tepat waktu, pelayanan flight attendant sangat prima, pilot ngasih bonus 'atraksi' saat take off dan bonus view landscape kota semarang yang eksotis menjelang landing. yang luar biasa...roda pesawat menjejak landasan pacu tanpa terasa.",Banjarmasin - Semarang,Domestic,Economy
Pku direct ke sub pakai lion air,40, ,"Memang tidak ada pilihan lain untuk bisa direct ke sub dari pku. Hanya lion air. Yg lain direct. Setelah bagasi berbayar, saya rasakan banyak perubahan. Dari keterlambatan boarding jadi jauh lebih baik. Meskipun masih terlambat 1 jam. Nunggu bagasi juga lebih cepat. Dan pelayanan kru nya juga baik. Yg sengsara itu 2.5jam duduk di dalam pesawat. Apalagi jika bandara tujuan lagi penuh. Dan harus muter muter di langit selama 3 jam. Tapi semua terbayar dengan efficiency waktu yg di berikan berbanding dengan transit. Sekarang kalo ke sub dari pku. Saya selalu naik lion air direct flight...",Pekanbaru - Surabaya,Domestic,Economy
Tingkatkan layanan prima,30,Desember 2019,"Tanggal 01012020...Siang jam 11 ngatri nunggu giliran maju, 10 menitan nunggu karena rame, beberapa kali mau diserobot cuma modal senyum mereka malu, mundurlah mereka, giliran saya maju cek in dan print tiket...nggak bagasi mas...nggak ada, ada tas ada saya jawab, bawa kesini tasnya oh..terimakasih...ini payungnya mas...maaf kenapa mbak...wajib dibagasikan...maaf insyaallah nggak deh aman...harus mas dengan nada ketus dan maksa...akhirnya saya jawab...nanti saya buang kalau disita...ini mohon ditertibkan dong...iya kita paham petugas yg difo capek..cuma resiko dipelayanan ya tetep senyum dan ucapkan terimakssih dong....",Jakarta - Bandar Lampung,Domestic,Economy
Mendebarkan,40,Desember 2019,Perjalanan saya sih bukan ke Bandung Husein Sastranegara tapi ke Bandara Kertajati Majalengka namun tidak mendapatkan lokasinya di trip advisor....mohon di update... Pengalaman baru mendarat di Bandara Baru Kertajati di Majalengka. Kami disambut hujan badai namun mendarat dengan aman...,Balikpapan - Bandung,Domestic,Economy
LION AIR Semakin Baik,40,Desember 2019,"Nice Lion Air, baru kali ini saya menaiki pesawat Lion Air tujuan Banjarmasin dari Soekarno Hatta berangkat sebelum Jam Keberangkatan. Semoga next selalu seperti ini, cuma hanya saja saat ini Lion Air untuk Bagasi tidak free. Sangat disayangkan dalam hal itu, saran saya sebaiknya untuk bagasi dibuat Free ya paling tidak tidak sampai 20Kg tetapi untuk bagasi yang penting free. thanks.",Jakarta - Banjarmasin,Domestic,Economy
Take off and landing,30,Desember 2019,Pendaratan yg kurang baik dan halus.. Sehingga tdk bisa menikmati perjalanan dg baik. Mohon ke depan diperbaiki kembali.,Denpasar - Surabaya,Southeast Asia,Economy
Beneran LCC ?,30,Desember 2019,"Harga sangat dinamis, belum tentu booking lebih awal lebih murah, kadang sehari sebelum keberangkatan lebih murah dibanding jauh-jauh hari. Ketepatan waktu tidak terduga, bisa sering delay dan bisa lebih awal boarding. Tetapi di Indonesia paling banyak penerbangannya kemana aj, dan relatif lebih murah. Pelayanan moderat.",Banjarmasin - Jakarta,Domestic,Economy
Standar,30, ,"Udh berkali kali sih naik lion air, overall bagus2 aja untuk perjalanan pendek. Tp kalau untuk kejakarta kayaknya unsure deh apalagi kalau yg bawa barang banyak karena tiketnya tiket tanpa bagasi, jadi bagasi harus beli lagi. Standarlah.",Denpasar - Lombok,Southeast Asia,Economy
Singa,30, ,"Proses Cek in di mesin dan lancar, boarding on time tidak seperti image sebelumnya. Suasana kabin kesannya sempit. Pramugarinya cantik cantik. Take off lancar dan landing halus mulus. Cuaca di sekitar Soekarno Hatta sedikit berawan.",Medan - Jakarta,Domestic,Economy
on time tapi sayang agak kotor,30,Oktober 2019,"Keberangkatan on time, cek in tidak ada masalah karena sebelumnya sudah booking bagasi via online. harga online lebih murah daripada on the spot. Namun sayang kondisi kabin agak kotor, kantong kursi nampaknya tidak dibersihkan karena masih ada sisa sampah, dan sudah agak sobek.",Jakarta - Lombok,Domestic,Economy
gembok di koper rusak dan hilang,30,Sep-19,"perjalanan keluarga dengan anak kecil sehingga saya membawa 2 buah koper 20 inci dan dititipkan ke dalam bagasi, isi koper tidak berkurang cuma 2 buah gembok kami satu rusak dan satu lagi hilang tidak keliatan. Sungguh mengecewakan, untung saja tidak ada barang hilang kemungkinan koper dibanting sehingga gemboknya rusak",Medan - Penang,Southeast Asia,Economy
Telah berbenah,30,Oktober 2019,"23 oktober akhirnya saya memberanikan diri untuk terbang bersama Lion air, setelah beberapa kali mendapatkan pengalaman yg membuat jera, karena alasan waktu saya pun terbang, tdk disangka2 penerbangan justru lebih cepat 5-10 menit dr sechedule awal, plus smooth landing and less turbulences, memang suasana awal cabin terasa panas dan pengap namun bbrp menit stlh take off cabin sudah mulai dingin. well done crew.",Jakarta - Medan,Domestic,Economy
Lagi antre check in malah di close,10,Oktober 2019,"Gila Lion nih ya, udah tau Adek saya masih SMA sendirian lagi, lagi antre buat check-in malah di close karena waktu nya udh mepet. Eh Lion gk usah sok2an tutup, saya tau pesawat lu PASTI delay, padahal masih ada waktu 30 menit, GK MUNGKIN pesawat lu tuh tepat waktu, yakin saya pasti delay dan penumpang masih bisa masuk. Fix terakhir kali keluarga saya pakai Lion Air. Udh itu kecelakaan mulu lagi, bukannya gara2 itu customer servicenya dibenerin, eh malah nambah2 alasan buat customer tuh kecewa. Saya doain aja kalian tutup.",Jakarta - Bandar Lampung,Domestic,Economy
LION AIR TIDAK PROFESIONAL,10,Oktober 2019,"Membatalkan Cancel penerbangan tanggal 10 Oktober 2019 IW 1851 Lombok -Denpasar Pukul 06.30 ,menjadi ke IW 1857 pikul 07.30, tanpa alasan yang jelas. Petugas check in counter tidak membantu khususnya petugas kasir Lion yang bernama Mbak Ayu sangat kasar. Sebaiknya jangan taruh orang yang tidak paham pekerjaan disana, sebaliknya mbak Luki bagian counter customer Lion lebih promt response. Saya tidak suka naik laion , ini karena terpaksa saja, berhubung mengejar waktu dan hanya satu-satunya penerbangan yang available .",Lombok - Denpasar,Asia,Economy
Salut untuk crew LION Air JT226,40,Agustus 2019,"Pada tgl 28 Agustus 2019 saya terbang ke banjarmasin menggunakan Lion JT226 dg jadwal leberangkatan awal nya adalah 08.40 WIB, namun dimundurkan menjadi 10,20. Mungkin bagi yg sering terbang menggunakan Lion sudah tidak kaget lagi alias sudah terbiasa mengalami delay seperti yg saya alami kali ini. Namun saya mau memberi apresiasi dan penghargaan untuk crew yg bertugas saat itu. Saat itu tempat duduk saya oleh pramugari Lion ditawari utk pindah ke bangku no 1B di baris depan. Saat hendak mematikan HP, baru saya sadari kalau HP saya yg satunya tertinggal di ruang tunggu. dan atas perhatian dan kejelian dr pramugari yg ada di depan saya, menanyakan apakah ada barang yg tertinggal..mungkin karena melihat kegelisahan dan kepanikkan saya. Akhirnya sy katakan klo HP saya tertinggal dan kemungkinan besar ada di ruang tunggu. Dengan sigap pramugari menyampaikan kepada petugas ground handling yg hendak menutup pintu pesawat, bahwa ada penumpang yg HP nya tertinggal di ruang tunggu. Oleh petugas ground handling yg bernama mas Haris, mengatakan kepada saya bahwa pesawat sdh hendak berangkat dan memberikan nomer hp nya kepada saya utk disimpan dan nanti dia akan mengecek hp sayai di ruang tunggu. Dan Puji Tuhan saat saya sampai di banjar, saya hubungi HP saya, ternyata yg menerima adalah mas Haris. Dia mengatakan HP saya sudah dia amankan. Pada malam hari saya kembali dari Banjarmasin, saya menemui mas Haris dan HP saya terima dengan kondisi baik tanpa kurang satu apapun. Saya sudah rencanakan untuk memberi uang sbg apresiasi kepada mas Haris, namun dia tidak mau menerimanya meskipun saya sudah sedkit memaksanya.. dan berkata bahwa dia ikhlas dan itu sudah menjadi bagian dari tanggung jawab dari pekerjaannya. salut untuk pramugari Lion yg mau peduli dan memperhatikan kondisi penumpang dan juga kesigapan dan ketulusan mas Haris sbg petugas groun handling Lion.",Surabaya - Banjarmasin,Domestic,Economy
"Aturan mencekik Lion Air, terlambat cek in 20 menit, tiket hangus.",10,Sep-19,"Aturan cek in Lion air ini semakin mencekik penumpang, terlambat 20 menit tiket hangus.  Bandara kecil sekelas Eltari dengan waktu 20 menit, masuk ke ruang tunggu tidak sampai 5 menit, naik ke pesawat 5 menit, masih tersisa waktu 10 menit. Anehnya kalau mereka yg terlambat berangkat karena masih menunggu penumpang transit (grup lion), atau karena ada kesalahan teknis, yang ada hanya permohonan maaf dari pramugari. penumpang tidak pernah komplain, atau harga tiket tidak dikembalikan, minimal di kurangi, karena menimbulkan ketidaknyamanan bagi penumpang.  Kalau aturan terlambat cek in, melewati batas waktu 30 menit di terapkan, harusnya juga kalau ada keterlambatan penerbangan karena kesalahan teknis maskapai Lion air, harus ada ganti rugi atau kompensasi dari maskapai. Mudah-mudahan uang yang hangus bisa bermanfaat bagimu, karena uang ini saya cari dengan keringat yang halal.",Kupang - Waingapu,Domestic,Economy
Terbang Ekonomis,40,Juni 2019,"Banyak pilihan waktu untuk maskapai penerbangan ini, sehingga cukup flesksibel untuk pilihan waktu mendadak .",Semarang - Jakarta,Domestic,Economy
Kunjungan,20,Agustus 2019,"Slaluu suka tukar pesawat.. Dan jam penerbangan nya slalu lambat Suka sebel kalo naik pesawat Lion air. Tapii mau bagai mna klo ada nya ituu yg murah harga tiket pesawat nya. Pesawat nya jga bau,gak wangi.. Mentang2 harga tiket nya murah.fasilitas ruangan nya di cyantikin dikit donk..✌😊🤗 stile Ok lah👌👍",Jakarta - Belitung Island,Domestic,Economy
Lion maskapai dengan rasa metro mini,10,Sep-19,"Hari ini saya terbang dari bandara i gusti ngurah rai denpasar - surabaya dengan JT919, awalnya saya sudah males dengan maskapai lion ini, pasti buruk terbang saya hari ini, tp krn flight malam ke surabaya cuma ada lion, mau tidak mau terpaksa saya ambil dan benar kekecewaan saya terjadi 1. Flight delay 30 menit tanpa pemberitahuan 2. Begitu masuk kabin, suasana panas ac tidak nyala, oke saya sabar dulu mungkin saat take off akan nyala, and I'm wrong. Saat terbang ac tidak nyala yg keluar cuma angin biasa, saya info ke pramugari dia bilang ""maaf segera saya info ke pilot"" dan saya tunggu ac tidak kunjung nyala kita semua sudah gerah, panas, lepek kedua kali saya info ke pramugari dan jawaban masih sama. Wow amazing flight terburuk dan tidak mengkedepankan kebutuhan customer dps- bali naik pesawat panas seperti naik kopaja yg berdesakkan",Denpasar - Surabaya,Southeast Asia,Economy
